320	105.8746
320	86.9784
640	79.2783
960	73.5159
1280	71.6945
1600	68.3742
1920	67.0041
2240	64.3356
2560	64.1718
2880	62.4191
3200	60.9338
3520	59.7792
3840	59.9396
4160	59.0930
4480	57.5644
4800	57.5519
5120	57.3034
5440	56.4131
5760	55.9959
6080	55.5361
6400	55.0719
6720	55.1473
7040	54.5038
7360	54.4177
7680	54.3978
8000	53.4346
8320	54.1732
8640	52.8898
8960	52.3577
9280	53.0373
9600	52.4065
9920	52.2532
10240	51.5740
10560	51.4496
10880	50.9770
11200	50.8588
11520	50.8850
11840	51.4992
12160	50.5491
12480	50.6026
12800	50.1687
13120	49.7166
13440	48.9557
13760	48.7440
14080	49.1663
14400	48.4697
14720	49.2113
15040	48.2304
15360	49.0617
15680	49.1565
16000	48.6748
16320	48.6280
16640	47.9317
16960	47.9766
17280	48.4453
17600	47.6632
17920	48.3971
18240	47.3314
18560	47.9724
18880	46.8936
19200	47.1764
19520	47.6158
19840	46.7359
20160	46.5372
20480	46.1068
20800	46.7883
21120	46.4996
21440	45.9723
21760	46.5325
22080	46.2975
22400	46.3988
22720	45.9902
23040	45.8341
23360	46.0139
23680	45.8284
24000	46.0786
24320	46.1483
24640	44.8113
24960	45.3394
25280	45.0651
25600	45.4743
25920	45.7120
26240	44.9465
26560	45.3272
26880	45.4477
27200	45.2176
27520	44.9873
27840	44.8920
28160	44.6444
28480	43.7528
28800	44.9700
29120	44.9249
29440	44.1651
29760	44.6055
30080	44.0500
30400	44.0198
30720	44.3122
31040	43.8895
31360	44.3813
31680	43.7165
32000	43.7907
32320	43.1846
32640	42.7619
32960	43.8295
33280	43.1524
33600	43.7127
33920	43.1580
34240	43.0937
34560	43.3620
34880	43.2890
35200	43.2042
35520	43.9727
35840	43.7107
36160	43.1560
36480	42.4561
36800	43.0442
37120	41.7463
37440	43.9790
37760	42.6988
38080	42.6055
38400	42.3183
